candidate_id,bin,route_combination,operator_class,route_class,partition_signature,closure_depth,q_sign,q_abs,native_charge_axis,spin_or_hand_class,color_or_owner_closure,closure_status,stability_status,M_native,surface_sign,surface_depth,surface_packet_address,S_debit_or_credit,M_observed_candidate,qA_source_support,tensor_carrier_support,retained_write_support,matter_row_allowed,known_match,promotion_status,latest_table_layer,latest_boundary_subtype,latest_matter_row_allowed,latest_promotion_status,latest_override_source,matter_gate_status,matter_gate_source,courtroom_table_layer,vault_reveal_status,vault_identity,known_identity_label,known_symbol,known_name,identity_assignment_role,known_label_used_as_construction_input,vault_reveal_source
QP093A-0011,stable_matter_rows,"minus_single_write[p=4,g=0]",V4_1_SINGLE_WRITE,single_write,4,0,negative,4,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,6.0,zero_contact,route_contact,route_contact,0,6.0,6.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666668,0.7708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333335,5.395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333335,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0011|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=4|d=0|q=negative:4,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0012,stable_matter_rows,"neutral_single_write[p=4,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,4,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.500,zero_contact,route_contact,route_contact,0,0.500,0.500,0.0625,0.4375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0012|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=4|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0013,stable_matter_rows,"plus_single_write[p=6,g=0]",V4_1_SINGLE_WRITE,single_write,6,0,positive,6,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,7.50,zero_contact,route_contact,route_contact,0,7.50,7.812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,0.9765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,6.835937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0013|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=6|d=0|q=positive:6,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0014,stable_matter_rows,"minus_single_write[p=6,g=0]",V4_1_SINGLE_WRITE,single_write,6,0,negative,6,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,9.0,zero_contact,route_contact,route_contact,0,9.0,9.375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003,1.171875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8.203125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0014|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=6|d=0|q=negative:6,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0015,stable_matter_rows,"neutral_single_write[p=6,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,6,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.750,zero_contact,route_contact,route_contact,0,0.750,0.750,0.09375,0.65625,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0015|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=6|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0016,stable_matter_rows,"plus_single_write[p=8,g=0]",V4_1_SINGLE_WRITE,single_write,8,0,positive,8,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,10.00,zero_contact,route_contact,route_contact,0,10.00,10.55555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,1.319444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444445,9.236111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111115,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0016|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=8|d=0|q=positive:8,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0017,stable_matter_rows,"minus_single_write[p=8,g=0]",V4_1_SINGLE_WRITE,single_write,8,0,negative,8,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,12.0,zero_contact,route_contact,route_contact,0,12.0,12.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1.583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,11.08333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0017|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=8|d=0|q=negative:8,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0018,stable_matter_rows,"neutral_single_write[p=8,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,8,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.000,zero_contact,route_contact,route_contact,0,1.000,1.000,0.125,0.875,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0018|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=8|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0019,stable_matter_rows,"plus_single_write[p=9,g=0]",V4_1_SINGLE_WRITE,single_write,9,0,positive,9,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,11.25,zero_contact,route_contact,route_contact,0,11.25,11.953125,1.494140625,10.458984375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0019|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=9|d=0|q=positive:9,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0020,stable_matter_rows,"minus_single_write[p=9,g=0]",V4_1_SINGLE_WRITE,single_write,9,0,negative,9,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,13.5,zero_contact,route_contact,route_contact,0,13.5,14.34375,1.79296875,12.55078125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0020|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=9|d=0|q=negative:9,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0021,stable_matter_rows,"neutral_single_write[p=9,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,9,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.125,zero_contact,route_contact,route_contact,0,1.125,1.125,0.140625,0.984375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0021|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=9|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0022,stable_matter_rows,"plus_single_write[p=12,g=0]",V4_1_SINGLE_WRITE,single_write,12,0,positive,12,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,15.00,zero_contact,route_contact,route_contact,0,15.00,16.25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.03125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,14.2187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0022|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=12|d=0|q=positive:12,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0023,stable_matter_rows,"minus_single_write[p=12,g=0]",V4_1_SINGLE_WRITE,single_write,12,0,negative,12,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,18.0,zero_contact,route_contact,route_contact,0,18.0,19.49999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2.437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,17.06249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0023|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=12|d=0|q=negative:12,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0024,stable_matter_rows,"neutral_single_write[p=12,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,12,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.500,zero_contact,route_contact,route_contact,0,1.500,1.500,0.1875,1.3125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0024|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=12|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0025,stable_matter_rows,"plus_single_write[p=1,g=1]",V4_1_SINGLE_WRITE,single_write,1,1,positive,1,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,15.00,zero_contact,route_contact,route_contact,0,15.00,15.10416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1.888020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,13.21614583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0025|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=1|q=positive:1,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0026,stable_matter_rows,"minus_single_write[p=1,g=1]",V4_1_SINGLE_WRITE,single_write,1,1,negative,1,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,18.0,zero_contact,route_contact,route_contact,0,18.0,18.12499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2.265624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,15.85937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0026|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=1|q=negative:1,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0027,stable_matter_rows,"neutral_single_write[p=1,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,1,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.500,zero_contact,route_contact,route_contact,0,1.500,1.500,0.1875,1.3125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,matter_row,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,PASS_STABLE_SINGLE_WRITE_MATTER,QP093A_WITH_QP093B_NULL_BOUNDARY,matter,NATIVE_MATTER_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0027|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=1|d=1|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
